Record_ID,Actor_or_Title,Location_or_Type,Period_or_Citation,Atomic_Fact_or_Proposition,Status_or_Weight,Principal_Risk_or_Limitation,Source_URL
A032,21 C.F.R. § 640.60,Regulation,Federal,Defines Source Plasma as plasma collected by plasmapheresis for further manufacturing use.,Binding regulatory predicate,,Supports commercial-manufacturing-purpose and product-classification allegations.
A033,21 C.F.R. § 640.65,Regulation,Federal,Defines the plasmapheresis procedure; requires periodic protein and immunoglobulin testing; limits collection frequency to at least two days apart and no more than twice in seven days.,Binding regulatory predicate,,"Supports medical-procedure, monitoring, frequency, and depletion allegations."
A034,21 C.F.R. § 640.66,Regulation,Federal,"Specific immunization selection, scheduling, administration, and clinical response evaluation are assigned to the responsible physician, subject to permitted delegation rules.",Binding regulatory predicate,,Supports immunization-program allegations.
A035,21 C.F.R. § 640.69,Regulation,Federal,Paid-source-plasma units for injectable manufacturing require eligibility and negative testing history and are held in quarantine for at least 60 days.,Binding regulatory predicate,,Shows commercial manufacturing controls and paid-participant treatment.
A036,FDA Informed Consent Recommendations for Source Plasma Participants,Guidance,Federal agency guidance,FDA guidance addresses consent for plasmapheresis and immunization programs and procedure-specific disclosures.,Persuasive,,Supports content and process of consent but is not an independent damages cause of action.
A037,"Haugen et al., Vox Sanguinis, 2025, PMID 40876898",Study,Peer-reviewed research,"Randomized trial found frequency-related reductions in total serum protein, IgG, subclasses, IgM, IgA, ferritin, and hemoglobin; several biomarkers required more than four weeks to recover.",Persuasive scientific evidence,,Supports materiality and cumulative-risk allegations; study population and schedule differ from each provider's exact program.
A038,"IgG homeostatic set point and recovery time in plasmapheresis safety monitoring, PMCID PMC12017950",Study,Peer-reviewed research,Large observational cohort found lower IgG with repeated procedures and described recovery toward participant-specific set points.,Persuasive scientific evidence,,Supports longitudinal-monitoring and individualized-baseline theory.
A039,"Specific protein content of plasma pools from different sources, PMID 20840337",Study,Peer-reviewed research,"Paid high-frequency United States source-plasma pools had lower measured total protein, albumin, IgG, and IgM than comparator pools.",Persuasive scientific evidence,,Supports biological plausibility; pooled product measurements do not directly prove individual injury.
A040,"Safety of plasmapheresis in participants with low IgG, PMID 37969863",Study,Peer-reviewed research,Prospective multicenter data reported no increased severe adverse-event or infection rate among participants with repeated low IgG measurements.,Contrary scientific evidence,,Limits any categorical claim that low IgG necessarily causes serious clinical injury.
A041,"Mohr v. Williams, 104 N.W. 12",Case,Minnesota Supreme Court,Patient authorization limits the scope of medical intervention and supports bodily-autonomy principles.,Binding historical authority,,Foundational consent authority; modern elements are controlled by later Minnesota cases.
A042,21 C.F.R. § 640.63,Regulation,Federal,"Addresses suitability requirements, physical examination, and medical history for Source Plasma participants.",Binding regulatory predicate,,Supports medical-screening and participant-suitability allegations.
